category,datetime,headline,id,image,related,source,summary,url
company,1680357180,3 Robinhood Stocks to Buy Right Now,119558158,https://s.yimg.com/ny/api/res/1.2/Z8YNNG_Qp6OSA9hK8zdicA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/52eb9b499a521653f8866b227bb226aa,AAPL,Yahoo,"Robinhood (NASDAQ: HOOD), the online brokerage that popularized commission-free trades among retail investors, is often associated with meme stocks, speculative option trades, and cryptocurrencies.  According to Robinhood's own investor index, Walt Disney (NYSE: DIS), Apple (NASDAQ: AAPL), and NIO (NYSE: NIO) are among the most widely held stocks on its platform.  Let's see why these three stocks could also deliver promising returns for long-term investors who might not think of themselves as ""Robinhood"" traders.",https://finnhub.io/api/news?id=5eb8d438e6803d0823d929bc9812e165397cb39a504987eddaefac838eb55fa8
company,1680349200,My Top FAANG Stock to Buy for the Second Half of 2023 (and Beyond),119552247,https://s.yimg.com/ny/api/res/1.2/n4tJ7EvO8kRdWEyRyGs92A--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/motleyfool.com/08c7183e88c5dc72a74f76b509506eb4,AAPL,Yahoo,"All five of the FAANG stocks -- Facebook's parent company Meta Platforms, Apple, Amazon, Netflix, and Google's parent Alphabet (NASDAQ: GOOG) (NASDAQ: GOOGL) -- hit their all-time highs in 2021 and early 2022.",https://finnhub.io/api/news?id=6bfad65bcd2a224b493ac91c65c61171ad0c315e36386b321c822b8821d80816
company,1680347700,Why You Should Buy Apple Stock,119552421,https://s.yimg.com/ny/api/res/1.2/anTtFWdy5O0c111pV03nSQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/40c4d113ea61b4d8ce07d0fc47be536f,AAPL,Yahoo,"Apple (NASDAQ: AAPL) was a dominant company over the last decade, but that doesn't mean the company's run is over. The iPhone isn't going anywhere, Macs continue to get better, and the accessories business is hitting on all cylinders.",https://finnhub.io/api/news?id=19e0d077c7600dc78a1fc3fb804e9e793de2e7d69f42ab8b98d1a75419baf24b
company,1680344258,3 things you may have missed as markets wrapped up a first-quarter rally,119551078,https://s.yimg.com/ny/api/res/1.2/SAxqptzJMwr5t_HwdhzLJA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-images/2019-11/a7b40920-0647-11ea-bffc-4a277c42c277,AAPL,Yahoo,The banking crisis was downgraded a bit this week. So here's what else you should have been watching in markets.,https://finnhub.io/api/news?id=0c8b2033fb36b554c1bc1816889f62740bc5e1efc8f08f4c31c311187c6458cd
company,1680339600,The Retirees Guide To An Upcoming Recession,119553069,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1257405518/image_1257405518.jpg?io=getty-c-w1536,AAPL,SeekingAlpha,Tech sector layoffs are accelerating as an era of free money causes companies to re-think the speed of innovation and product development. Read more here.,https://finnhub.io/api/news?id=28222b5e9c67980187c5bbc8a30bcc88b8fbdf245d9f7349adf17e6a9af74b05
company,1680336001,"Tipping in the United States has gotten out of control, experts say. Here's why",119553334,https://image.cnbcfm.com/api/v1/image/107217915-1680196631630-Screen_Shot_2023-03-29_at_33604_PM.png?v=1680350401&w=1920&h=1080,AAPL,CNBC,"Tipping in the U.S. is on the rise to such a degree that experts call it ""tipflation."" With Americans being pressured to tip more, where's the tipping point?",https://finnhub.io/api/news?id=4e2e5960cb55c5ea68310ed4625d19594899f99161bcb5d3d6eca0f8166250f6
company,1680336000,U.S. stocks have barely budged since last summer. Where will they go next?,119554132,https://images.mktw.net/im-755523/social,AAPL,MarketWatch,"U.S. stocks have shrugged off a number of threats since the start of the year, powering through the worst U.S. bank failure since the 2008 financial crisis.",https://finnhub.io/api/news?id=d7f825af48ad857aa139a5525865f511194b389e22c55e1d2852a1a3b19cc182
company,1680335701,Why tipping in the United States has gotten out of hand,119554455,https://image.cnbcfm.com/api/v1/image/107217950-1680198206381-tipping_picture.png?v=1680350101&w=1920&h=1080,AAPL,CNBC,"Tipping in the United States is on the rise to such a degree that experts call it ""tipflation."" The social pressure to tip well in front of the tip receiver, before a service is completed, or in front of other customers, encourages the trend, and the pandemic also has played a part in causing tips to soar. With Americans feeling the push to tip in higher percentages and for more services, the question is, where is the tipping point?",https://finnhub.io/api/news?id=b06f3ff3fa94087d53756d1ac9131d7b6812d1e2d957e2e4a17e33d07ce4a5f3
company,1680334740,"Are tech stocks becoming a haven again? ���It`s a mistake,` say market analysts.",119557128,,AAPL,MarketWatch,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=2f83041bdfedb94bd7146ddc4a1f22580f322a901f2ccfe156f2f73ffd9dbb69
company,1680334501,Wall Street Breakfast: What Moved Markets,119552094,https://static.seekingalpha.com/uploads/2021/8/14/saupload_Stock_market_-_generic_9.jpg,AAPL,SeekingAlpha,"Listen on the go! A daily podcast of Wall Street Breakfast will be available this morning on Seeking Alpha, iTunes, Stitcher and Spotify.",https://finnhub.io/api/news?id=1636aa5651c177d63ef4001d088a1d49ac102a29deca484b718f8cfa9e47ac96
company,1680332460,U.S. stocks have barely budged since last summer. Here`s what could ultimately determine where they go next,119556491,,AAPL,MarketWatch,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=0de92cbdcc56dad6cddc898e5999c480a8403986a7bb92984727260bc1a82f16
company,1680330900,Do ESG Funds Have Higher ESG Scores?,119551243,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1436317094/image_1436317094.jpg?io=getty-c-w1536,AAPL,SeekingAlpha,"ESG funds, including both mutual funds and exchange-traded funds, have grown into a $400 billion market in the United States alone.",https://finnhub.io/api/news?id=a8ffd50faa530bb3a10e78db3930d34a3d53926106adc439297cec72deb172d9
company,1680318000,On This Day: Earthquake in Aleutian Islands triggers deadly tsunami in Hawaii,119560339,,AAPL,United Press International,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c3507054755f6f5af3500578de5904ff841f0a2864d3e256fcda87b7954f58fb
company,1680314400,"2023 Percentage Returns Of 5 Largest Stocks - Saturday, April 1",119559717,,AAPL,TalkMarkets,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=aea1dc37d6f15f845c0a9734a1dd833e252799487782b14d954b580dd34d6de9
company,1680304004,Apple wins reversal of $502 million VirnetX patent infringement verdict,119545246,https://static.reuters.com/resources/r/?m=02&d=20230331&t=2&i=1628733582&r=LYNXMPEJ2U0ZJ,AAPL,Reuters,Apple Inc on Friday convinced a U.S. appeals court to throw out a $502 million verdict for patent licensing company VirnetX Inc in a long-running fight over internet privacy technology.,https://finnhub.io/api/news?id=e929d9f90ef3908e15b17d5c9c41eae46ed127d67819412420f9be24f85e4635
company,1680303780,Weekly Roundup,119544295,https://media.zenfs.com/en/thestreet.com/5605ecae858be9dc31561258ecb7039f,AAPL,Yahoo,"This week we added to our positions in Marvell and Clear Secure, and made downgrades and upgrades, including to Deere.",https://finnhub.io/api/news?id=e382777263a48d72d2f208464f1d78b9076616c325ee11a6c003d0c228b5d878
company,1680302850,Apple wins reversal of $502 mln VirnetX patent infringement verdict,119547552,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,AAPL,Yahoo,Apple Inc on Friday convinced a U.S. appeals court to throw out a $502 million verdict for patent licensing company VirnetX Inc in a long-running fight over internet privacy technology.  The U.S. Court of Appeals for the Federal Circuit said the verdict could not stand after the U.S. Patent Trial and Appeal Board canceled the virtual private network (VPN) patents VirnetX accused Apple of infringing.  The ruling follows the Federal Circuit's Thursday decision to affirm a U.S. Patent and Trademark Office tribunal's finding that the patents were invalid.,https://finnhub.io/api/news?id=94b0134f64987eb6e2fce34d7cd7bd49eb987b94b0307b51768653c3400fa3c8
company,1680296400,Better VR Stock: AMD vs. Apple,119545663,https://s.yimg.com/ny/api/res/1.2/q5jWGbOwi9XoWB9a2Df1cg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MzM-/https://media.zenfs.com/en/motleyfool.com/b4655d9c28559e02928c0ab3e9812a33,AAPL,Yahoo,"The virtual and augmented reality markets are booming, and these companies are excellent ways to invest in the future of the industry.",https://finnhub.io/api/news?id=1db3405006650f5d57608670ad3ed761e58caff9de47225b302085e94d7f8524
company,1680295731,"Buy now, pay later industry has seen progressive ‘soft checks on people’s credit’: Analyst",119547554,https://s.yimg.com/ny/api/res/1.2/wxmRnGt1_JNxLar2E5j0kg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzQ-/https://s.yimg.com/os/creatr-uploaded-images/2023-03/7000ade0-d005-11ed-bf5f-d1c681aff2e0,AAPL,Yahoo,"Macquarie U.S. Lifestyle & Payments Analyst Paul Golding breaks down Apple’s decision to break into the buy now, pay later industry and details the regulatory implications of tech companies venturing into credit and BNPL services.",https://finnhub.io/api/news?id=76d7b455cb97b0d9c7729220fa1ca39ae463605877eccf1e3dad59a176f4e88a
company,1680295703,Is the metaverse a fad or the future of tech?,119547555,https://s.yimg.com/ny/api/res/1.2/3wLOhXfb3o_5a3jfHwnUaA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/os/creatr-uploaded-images/2023-03/44549080-d005-11ed-bb89-260050f537a8,AAPL,Yahoo,Yahoo Finance tech reporters Allie Garfinkle and Dan Howley join the Live show to break down the latest news on the metaverse and companies' strategies to compete in it.,https://finnhub.io/api/news?id=4df143721f68d36c1d08e83bf43d01ec18f50adb059ac16b03d413413501d128
company,1680293220,"How Apple Pay Later Will Pressure PayPal, Cash App And Affirm",119546252,https://media.zenfs.com/en/ibd.com/744171cec285da734fcddd9d3ba1bff2,AAPL,Yahoo,"Apple's launch of buy now, pay later offerings didn't move AAPL stock much, but investors in PayPal, Square and Affirm took notice.",https://finnhub.io/api/news?id=4156c4facc970a0220818e6bf9584f9f40b529f7226f4fca5fb983d7bf737a47
company,1680292052,"GM drops Apple CarPlay service, partners with Google on future EV assistance",119546115,https://s.yimg.com/ny/api/res/1.2/agMjC2TKfFMVF7prlFV6qA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/os/creatr-uploaded-images/2023-03/5fd50e60-cffc-11ed-afff-9b4fd973be92,AAPL,Yahoo,Yahoo Finance Live discusses General Motors’ plan to partner with Google for EV assistance after dropping its partnership with Apple CarPlay.,https://finnhub.io/api/news?id=79cadfc6624d8ba90a89d54ae87916e70d7cd5c7a1a89f8df61cf2bd99a3d833
company,1680288240,Compounders And Dividends: March 2023 Portfolio Update,119543050,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1142642575/image_1142642575.jpg?io=getty-c-w1536,AAPL,SeekingAlpha,"My year over year dividend income was up 59.8%, while the quarter over quarter dividend income was down 0.55%. Click here to read my recent update and analysis.",https://finnhub.io/api/news?id=4ddfc352b7fdc3b4b9f26dadcfe1fc14839032b8105b9ef5cc5fde9f71f07c64
company,1680284437,GM Taps Google To Phase Out Apple CarPlay From EVs Starting With 2024 Chevrolet Blazer,119546117,https://media.zenfs.com/en/Benzinga/598ff09b62612fc732b9c45fac8eef97,AAPL,Yahoo,"General Motors Co (NYSE: GM) plans to phase out the popular Apple Inc's (NASDAQ: AAPL) Apple CarPlay and Android Auto technologies that allow drivers to bypass a vehicle's infotainment systems, starting with the 2024 Chevrolet Blazer. GM proposes to shift to built-in infotainment systems developed with Alphabet Inc (NASDAQ: GOOG) (NASDAQ: GOOGL) Google for future electric cars, Reuters reports. Apple CarPlay and Android Auto systems allow users to mirror their smartphone screens in a vehicle's d",https://finnhub.io/api/news?id=0c820574e11dba24b9893574bfc690866862522389e6aabb3cf089f6711629c2
company,1680283320,Why Apple Stock and the Rest of Big Tech Can Keep Gaining,119554134,https://images.barrons.com/im-755489/social,AAPL,MarketWatch,The Nasdaq-100's move into a bull market has raised concern that the rally is overdone. But there is a case to be made for the index to keep rising.,https://finnhub.io/api/news?id=9f67d7c06d679c92b3ae710a6a997c62f0b9a0a617ae19aa1c0f0728c46a4d5d
company,1680281605,Apple wins appeal against UK's decision to investigate its mobile browser,119537015,https://static.reuters.com/resources/r/?m=02&d=20230331&t=2&i=1628701236&r=LYNXMPEJ2U0T9,AAPL,Reuters,"Apple Inc won its appeal against the decision by Britain's antitrust regulator to launch an investigation into its mobile browser and cloud gaming services, the Competition Appeal Tribunal (CAT) ruled on Friday.",https://finnhub.io/api/news?id=cc5ac871e2be81a2a12a6645d03a2db940cb91ad4cc42f4c0f227b58aac57d48
