company,date,headline,summary
AAPL,01/02/2022,Apple (AAPL) Q1 2023 Earnings Call Transcript,"AAPL earnings call for the period ending December 31, 2022. Logo of jester cap with thought bubble. Image source: The Motley Fool. Apple (AAPL -0.74%)"
AAPL,01/02/2022,Apple sales drop 5% in largest quarterly revenue decline since 2016,AAPL-1.23 (-0.73%). Follow your favorite stocksCREATE FREE ACCOUNT. Wedbush's Dan Ives on Apple earnings: Much better than feared. watch now. VIDEO6:1806:18.
AAPL,01/02/2022,"AAPL investors unconcerned by earnings, following ...","AAPL investors unconcerned by earnings, following Cook's reassurance · iPhone: $65.78 billion (vs. $71.63 billion) · Mac: $7.74 billion (vs. $10.85 billion) · iPad..."
AAPL,01/02/2022,Apple (NASDAQ:AAPL) Preview: Revenues Could Decline in Q2,"On April 24, the analyst said he expects a 5% fall in AAPL's product revenues. However, he expects iPhone sales to offset the weakness in Mac revenue. Given the..."
AAPL,01/02/2022,Apple (AAPL) Q2 2023 Earnings Preview: What to Expect?,"Apple (AAPL) reports quarterly earnings on May 4th after the market closes, and both revenue and earnings per share (EPS) expectations are lower than the..."
AAPL,01/03/2022,Apple (AAPL) Q1 2023 Earnings Call Transcript,"AAPL earnings call for the period ending December 31, 2022. Logo of jester cap with thought bubble. Image source: The Motley Fool. Apple (AAPL -0.74%)"
AAPL,01/03/2022,Apple sales drop 5% in largest quarterly revenue decline since 2016,AAPL-1.23 (-0.73%). Follow your favorite stocksCREATE FREE ACCOUNT. Wedbush's Dan Ives on Apple earnings: Much better than feared. watch now. VIDEO6:1806:18.
AAPL,01/03/2022,"AAPL investors unconcerned by earnings, following ...","AAPL investors unconcerned by earnings, following Cook's reassurance · iPhone: $65.78 billion (vs. $71.63 billion) · Mac: $7.74 billion (vs. $10.85 billion) · iPad..."
AAPL,01/03/2022,Apple (NASDAQ:AAPL) Preview: Revenues Could Decline in Q2,"On April 24, the analyst said he expects a 5% fall in AAPL's product revenues. However, he expects iPhone sales to offset the weakness in Mac revenue. Given the..."
AAPL,01/03/2022,Apple (AAPL) Q2 2023 Earnings Preview: What to Expect?,"Apple (AAPL) reports quarterly earnings on May 4th after the market closes, and both revenue and earnings per share (EPS) expectations are lower than the..."
AAPL,01/04/2022,Apple (AAPL) Q1 2023 Earnings Call Transcript,"AAPL earnings call for the period ending December 31, 2022. Logo of jester cap with thought bubble. Image source: The Motley Fool. Apple (AAPL -0.74%)"
AAPL,01/04/2022,Apple sales drop 5% in largest quarterly revenue decline since 2016,AAPL-1.23 (-0.73%). Follow your favorite stocksCREATE FREE ACCOUNT. Wedbush's Dan Ives on Apple earnings: Much better than feared. watch now. VIDEO6:1806:18.
AAPL,01/04/2022,"AAPL investors unconcerned by earnings, following ...","AAPL investors unconcerned by earnings, following Cook's reassurance · iPhone: $65.78 billion (vs. $71.63 billion) · Mac: $7.74 billion (vs. $10.85 billion) · iPad..."
AAPL,01/04/2022,Apple (NASDAQ:AAPL) Preview: Revenues Could Decline in Q2,"On April 24, the analyst said he expects a 5% fall in AAPL's product revenues. However, he expects iPhone sales to offset the weakness in Mac revenue. Given the..."
AAPL,01/04/2022,Apple (AAPL) Q2 2023 Earnings Preview: What to Expect?,"Apple (AAPL) reports quarterly earnings on May 4th after the market closes, and both revenue and earnings per share (EPS) expectations are lower than the..."
AAPL,01/05/2022,Apple (AAPL) Q1 2023 Earnings Call Transcript,"AAPL earnings call for the period ending December 31, 2022. Logo of jester cap with thought bubble. Image source: The Motley Fool. Apple (AAPL -0.74%)"
AAPL,01/05/2022,Apple sales drop 5% in largest quarterly revenue decline since 2016,AAPL-1.23 (-0.73%). Follow your favorite stocksCREATE FREE ACCOUNT. Wedbush's Dan Ives on Apple earnings: Much better than feared. watch now. VIDEO6:1806:18.
AAPL,01/05/2022,"AAPL investors unconcerned by earnings, following ...","AAPL investors unconcerned by earnings, following Cook's reassurance · iPhone: $65.78 billion (vs. $71.63 billion) · Mac: $7.74 billion (vs. $10.85 billion) · iPad..."
AAPL,01/05/2022,Apple (NASDAQ:AAPL) Preview: Revenues Could Decline in Q2,"On April 24, the analyst said he expects a 5% fall in AAPL's product revenues. However, he expects iPhone sales to offset the weakness in Mac revenue. Given the..."
AAPL,01/05/2022,Apple (AAPL) Q2 2023 Earnings Preview: What to Expect?,"Apple (AAPL) reports quarterly earnings on May 4th after the market closes, and both revenue and earnings per share (EPS) expectations are lower than the..."
company,date,headline,summary
AAPL,01/02/2022,Apple (AAPL) Q1 2023 Earnings Call Transcript,"AAPL earnings call for the period ending December 31, 2022. Logo of jester cap with thought bubble. Image source: The Motley Fool. Apple (AAPL -0.74%)"
AAPL,01/02/2022,Apple sales drop 5% in largest quarterly revenue decline since 2016,AAPL-1.23 (-0.73%). Follow your favorite stocksCREATE FREE ACCOUNT. Wedbush's Dan Ives on Apple earnings: Much better than feared. watch now. VIDEO6:1806:18.
AAPL,01/02/2022,"AAPL investors unconcerned by earnings, following ...","AAPL investors unconcerned by earnings, following Cook's reassurance · iPhone: $65.78 billion (vs. $71.63 billion) · Mac: $7.74 billion (vs. $10.85 billion) · iPad..."
AAPL,01/02/2022,Apple (NASDAQ:AAPL) Preview: Revenues Could Decline in Q2,"On April 24, the analyst said he expects a 5% fall in AAPL's product revenues. However, he expects iPhone sales to offset the weakness in Mac revenue. Given the..."
AAPL,01/02/2022,Apple (AAPL) Q2 2023 Earnings Preview: What to Expect?,"Apple (AAPL) reports quarterly earnings on May 4th after the market closes, and both revenue and earnings per share (EPS) expectations are lower than the..."
AAPL,01/03/2022,Apple (AAPL) Q1 2023 Earnings Call Transcript,"AAPL earnings call for the period ending December 31, 2022. Logo of jester cap with thought bubble. Image source: The Motley Fool. Apple (AAPL -0.74%)"
AAPL,01/03/2022,Apple sales drop 5% in largest quarterly revenue decline since 2016,AAPL-1.23 (-0.73%). Follow your favorite stocksCREATE FREE ACCOUNT. Wedbush's Dan Ives on Apple earnings: Much better than feared. watch now. VIDEO6:1806:18.
AAPL,01/03/2022,"AAPL investors unconcerned by earnings, following ...","AAPL investors unconcerned by earnings, following Cook's reassurance · iPhone: $65.78 billion (vs. $71.63 billion) · Mac: $7.74 billion (vs. $10.85 billion) · iPad..."
AAPL,01/03/2022,Apple (NASDAQ:AAPL) Preview: Revenues Could Decline in Q2,"On April 24, the analyst said he expects a 5% fall in AAPL's product revenues. However, he expects iPhone sales to offset the weakness in Mac revenue. Given the..."
AAPL,01/03/2022,Apple (AAPL) Q2 2023 Earnings Preview: What to Expect?,"Apple (AAPL) reports quarterly earnings on May 4th after the market closes, and both revenue and earnings per share (EPS) expectations are lower than the..."
AAPL,01/04/2022,Apple (AAPL) Q1 2023 Earnings Call Transcript,"AAPL earnings call for the period ending December 31, 2022. Logo of jester cap with thought bubble. Image source: The Motley Fool. Apple (AAPL -0.74%)"
AAPL,01/04/2022,Apple sales drop 5% in largest quarterly revenue decline since 2016,AAPL-1.23 (-0.73%). Follow your favorite stocksCREATE FREE ACCOUNT. Wedbush's Dan Ives on Apple earnings: Much better than feared. watch now. VIDEO6:1806:18.
AAPL,01/04/2022,"AAPL investors unconcerned by earnings, following ...","AAPL investors unconcerned by earnings, following Cook's reassurance · iPhone: $65.78 billion (vs. $71.63 billion) · Mac: $7.74 billion (vs. $10.85 billion) · iPad..."
